micros	tikcs
5754512	-445
5755704	-446
5756892	-447
5758084	-448
5759272	-449
5760464	-450
5761652	-451
5762844	-452
5764032	-453
5765224	-454
5766412	-455
5767604	-456
5768792	-457
5769984	-458
5771172	-459
5772364	-460
5773552	-461
5774744	-462
5775932	-463
5777124	-464
5778312	-465
5779504	-466
5780692	-467
5781884	-468
5783072	-469
5784272	-470
5785452	-471
5786644	-472
5787832	-473
5789024	-474
5790212	-475
5791404	-476
5792592	-477
5793784	-478
5794972	-479
5796164	-480
5797352	-481
5798544	-482
5799732	-483
5800924	-484
5802112	-485
5803304	-486
5804492	-487
5805684	-488
5806872	-489
5808064	-490
5809252	-491
5810444	-492
5811632	-493
5812824	-494
5814012	-496
5815204	-497
5816392	-498
5817584	-499
5818772	-500
5819964	-501
5821152	-502
5822344	-503
5823532	-504
5824724	-505
5825912	-506
5827104	-507
5828292	-508
5829484	-509
5830676	-510
5831864	-511
5833052	-512
5834244	-513
5835432	-514
5836624	-515
5837812	-516
5839004	-517
5840192	-518
5841384	-519
5842572	-520
5843764	-521
5844952	-522
5846144	-523
5847332	-524
5848524	-525
5849712	-526
5850904	-527
5852092	-528
5853284	-529
5854472	-530
5855664	-531
5856852	-532
5858044	-533
5859232	-534
5860424	-535
5861612	-536
5862804	-537
5863992	-538
5865184	-539
5866372	-540
5867564	-541
5868752	-542
5869944	-543
5871132	-544
5872324	-545
5873512	-546
5874708	-547
5875892	-548
5877084	-549
5878272	-550
5879464	-551
5880652	-552
5881844	-552
5883032	-553
5884224	-554
5885412	-555
5886604	-556
5887792	-557
5888984	-558
5890172	-559
5891364	-560
5892552	-561
5893744	-562
5894932	-563
5896124	-564
5897312	-565
5898504	-566
5899692	-567
5900884	-568
5902072	-569
5903264	-570
5904452	-571
5905644	-572
5906832	-573
5908024	-574
5909212	-575
5910404	-576
5911592	-577
5912784	-578
5913972	-579
5915164	-580
5916352	-581
5917544	-582
5918740	-583
5919924	-584
5921112	-585
5922304	-585
5923492	-586
5924684	-587
5925872	-588
5927064	-589
5928252	-590
5929444	-591
5930632	-592
5931824	-593
5933012	-594
5934204	-595
5935392	-596
5936584	-597
5937772	-598
5938964	-599
5940152	-600
5941344	-601
5942532	-602
5943724	-603
5944912	-604
5946104	-605
5947292	-606
5948484	-607
5949672	-608
5950864	-609
5952052	-610
5953244	-610
5954432	-611
5955624	-612
5956812	-613
5958004	-614
5959192	-615
5960384	-616
5961572	-617
5962768	-618
5963952	-619
5965144	-620
5966332	-621
5967524	-622
5968712	-623
5969904	-624
5971092	-625
5972284	-626
5973472	-627
5974664	-628
5975852	-629
5977044	-630
5978232	-631
5979424	-632
5980612	-633
5981804	-633
5982992	-634
5984184	-635
5985372	-636
5986564	-637
5987752	-638
5988944	-639
5990132	-640
5991324	-641
5992512	-642
5993704	-643
5994892	-644
5996084	-645
5997272	-646
5998464	-647
5999652	-648
6000844	-649
6002032	-650
6003224	-651
6004412	-652
6005604	-653
6006800	-654
6007984	-654
6009172	-655
6010364	-656
6011552	-657
6012744	-658
6013932	-659
6015124	-660
6016312	-661
6017504	-662
6018692	-663
6019884	-664
6021072	-665
6022264	-666
6023452	-667
6024644	-668
6025832	-669
6027024	-670
6028212	-671
6029404	-672
6030592	-673
6031784	-674
6032972	-675
6034164	-675
6035352	-676
6036544	-677
6037732	-678
6038924	-679
6040112	-680
6041304	-681
6042492	-682
6043684	-683
6044872	-684
6046064	-685
6047252	-686
6048444	-687
6049632	-688
6050828	-689
6052012	-690
6053204	-691
6054392	-691
6055584	-692
6056772	-693
6057964	-694
6059152	-695
6060344	-696
6061532	-697
6062724	-698
6063912	-699
6065104	-700
6066292	-701
6067484	-702
6068672	-703
6069864	-703
6071052	-704
6072244	-705
6073432	-706
6074624	-707
6075824	-708
6077004	-709
6078192	-710
6079384	-711
6080572	-712
6081764	-713
6082952	-714
6084144	-714
6085332	-715
